机构名称,聚类结果,领域数量,投资次数,投资总额,所投公司存活时间,所投公司创业人数,所投公司管理层毕业于世界500强大学占比,所投公司在一线城市占比,所投公司在二线城市占比,金融占比,旅游占比,硬件占比,汽车交通占比,企业服务占比,本地生活占比,电子商务占比,教育占比,广告营销占比,游戏占比,文化娱乐体育占比,医疗健康占比,房产服务占比,SNS社交网络占比,移动互联网占比,工具软件占比,未知领域占比
Google Capital,8,0.4375,0.038929440389294405,0.06651039074512838,0.4237977369165488,0.0125,0.0,0.0,0.0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0
天泽投资,12,0.125,0.004866180048661801,2.0160405670720905E-4,0.029702970297029705,0.2,0.5,0.5,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
NewSchools Venture Fund,13,0.0625,0.009732360097323601,9.117901850957826E-4,0.14957567185289958,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mousse Partners,9,0.1875,0.0072992700729927005,0.006794781079097161,0.3097595473833098,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Menlo Ventures,7,0.5625,0.051094890510948905,0.05732035627545131,0.210547585370782,0.0,0.0,0.0,0.0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0
Valar Ventures,11,0.375,0.019464720194647202,0.005660003041945752,0.17980905233380481,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
上海浦软创投,3,0.1875,0.009732360097323601,1.406539930515412E-4,0.027581329561527583,0.2,0.5,1.0,0.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Hummer Winblad Venture Partners,0,0.125,0.0072992700729927005,0.0034188825478342144,0.3804809052333805,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
方源资本,12,0.125,0.004866180048661801,0.02779454117246375,0.14002828854314003,0.3,0.5,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
500 Startups,6,1.0,0.1654501216545012,0.012949097976737458,0.11725185123554373,0.041176470588235294,0.029411764705882353,0.11764705882352941,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Viking Global Investors,8,0.125,0.0072992700729927005,0.00827276995615625,0.27015558698727016,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Origin Ventures,8,0.125,0.009732360097323601,0.0015652794953015066,0.30763790664780766,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
创业基金会,6,1.0,0.10948905109489052,0.001409169535062869,0.043658651579443666,0.21333333333333332,0.26666666666666666,0.9111111111111111,0.044444444444444446,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
众诚资本,6,0.75,0.051094890510948905,0.0014321905303815781,0.034350373812891494,0.24761904761904763,0.0,0.9047619047619048,0.09523809523809523,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0
德沃创业/德沃基金,13,0.375,0.0364963503649635,0.004260843601523069,0.04554455445544554,0.32,0.2,0.7333333333333333,0.06666666666666667,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
Anthemis Group,11,0.125,0.009732360097323601,0.0014839405101210734,0.1463932107496464,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
盖茨基金会（Bill & Melinda Gates Foundation）,2,0.1875,0.009732360097323601,0.008006930346054347,0.18352192362093353,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
The Walt Disney Company迪士尼,5,0.1875,0.009732360097323601,0.09453177180116196,0.20155586987270158,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
iNovia Capital,2,0.375,0.031630170316301706,0.011354723943419737,0.32151017299532153,0.0,0.0,0.0,0.0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Oregon Angel Fund,13,0.125,0.004866180048661801,3.5352700388178516E-4,0.0785007072135785,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Carmel Ventures,8,0.3125,0.019464720194647202,0.009292483087442658,0.3325671852899576,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
Talis Capital,9,0.125,0.004866180048661801,3.4404466804118514E-4,0.08486562942008487,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IBM,11,0.1875,0.014598540145985401,8.764712923013738E-4,0.2842998585572843,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
正和磁系资本,1,0.375,0.019464720194647202,0.0035833279182097984,0.0663012729844413,0.375,0.125,1.0,0.0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
国金投资,9,0.3125,0.012165450121654502,6.001237036865758E-4,0.18585572842998585,0.08,0.0,0.8,0.0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
赛富基金/赛富亚洲基金SAIF,6,1.0,0.1678832116788321,0.12977764942216136,0.1742205276428264,0.21159420289855074,0.2028985507246377,0.6231884057971014,0.10144927536231885,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
